DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG, Reason
DSFFLOW-3311,In Progress,Expansion,BOS,Monetization Charging,415,415,171,27-Jul-25,27-Jul-25,22-Jul-25,30-Sep-25,30-Sep-25,,65,65,3533.6,3533.6,946.55,3015.1,15%,41%,88%,27%,Amber,[In Prog] efforts burnt misaligned with time progress; 
DSFFLOW-3498,In Progress,Migration,Core Network,"EPC, Signaling, UDM",77,77,37,18-Jun-25,18-Jun-25,23-Jul-25,31-Dec-25,31-Dec-25,,196,196,1514.6,1514.6,936.5,1474.6,3%,48%,49%,62%,Green,[In Prog] late start; 
DSFFLOW-3745,In Progress,Migration,Core Network,UDM,15,14,0,28-Jul-25,28-Jul-25,12-Aug-25,26-Dec-25,26-Dec-25,,151,151,2080.0,2080.0,911.5,2080.0,0%,0%,38%,44%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-4694,In Progress,Upgrade,Core Network,Cloud,48,48,11,13-Jul-25,14-Jul-25,14-Jul-25,30-Dec-25,30-Dec-25,,170,169,2298.0,2298.0,875.0,2263.0,2%,23%,42%,38%,Green,[In Prog] 
DSFFLOW-6590,In Progress,Maiden Installation,Core Network,IMS,23,23,0,25-Aug-25,25-Aug-25,16-Sep-25,31-Dec-28,31-Dec-28,,1224,1224,1559.99,1559.99,836.0,1559.99,0%,0%,2%,54%,Red,[In Prog] efforts burning without any work progress; late start; 
DSFFLOW-3528,In Progress,Upgrade,Core Network,EPC,130,130,14,04-Jul-25,07-Jul-25,07-Jul-25,31-Dec-25,31-Dec-25,,180,177,1992.0,1992.0,820.0,1912.0,4%,11%,44%,41%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-677,In Progress,Upgrade,Core Network,IMS,102,102,88,24-Apr-25,14-Apr-25,14-Apr-25,31-Dec-25,30-Sep-25,,251,169,1792.0,1800.0,1402.0,1720.0,4%,86%,95%,78%,Green,[In Prog] 
DSFFLOW-4070,In Progress,Maiden Installation,BOS,"Core Commerce, D&A Mediation, Monetization Billing",60,60,0,06-Jun-25,06-Jun-25,31-Jul-25,31-Dec-27,31-Dec-27,,938,938,48905.49972,48905.49972,1410.25,48677.49972,0%,0%,12%,3%,Green,[In Prog] late start; Delivery Manager not assigned
DSFFLOW-862,In Progress,Upgrade,Core Network,MSS,63,63,22,05-May-25,19-May-25,19-May-25,31-Dec-25,31-Dec-25,,240,226,2474.75,2474.75,1468.1,2474.75,0%,35%,57%,59%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-1119,In Progress,Upgrade,Network Management,Element Management,161,160,53,15-May-25,21-May-25,02-Jun-25,31-Dec-25,31-Dec-25,,230,224,3306.0,3298.0,1469.0,2716.5,18%,33%,57%,45%,Green,[In Prog] late start; 
DSFFLOW-245,In Progress,"Upgrade, Maiden Installation",Network Management,Element Management,853,545,107,15-May-25,07-Apr-25,,01-Oct-25,31-Dec-25,,139,268,24189.0,16930.0,12088.5,15530.5,8%,20%,63%,71%,Red,[In Prog] efforts burnt outweighing work output; 
DSFFLOW-760,In Progress,Upgrade,BOS,"D&A Mediation, Monetization Charging",2546,2546,796,05-May-25,05-May-25,12-May-25,20-Apr-26,20-Apr-26,,350,350,33240.9,33240.9,11333.70167,32190.81167,3%,31%,40%,34%,Green,[In Prog] 
DSFFLOW-447,In Progress,Upgrade,BOS,Monetization Billing,37,37,19,01-Apr-25,01-Apr-25,20-May-25,05-Dec-25,05-Dec-25,,248,248,10676.2,10676.2,7670.609722,9687.71,9%,51%,70%,72%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-5109,In Progress,"Maiden Installation, Migration","Core Network, Network Management","Cloud, Core Network Automation, EPC, IMS, MSS, Resource Orchestration, UDM",248,248,203,01-Jun-25,01-Jun-25,22-Aug-25,29-Sep-25,29-Sep-25,,120,120,8622.5,8622.5,7252.16,8162.5,5%,82%,94%,84%,Green,[In Prog] late start; 
DSFFLOW-507,In Progress,Upgrade,Network Management,Element Management & Reporting,527,1464,468,28-Feb-25,01-Mar-25,26-Jun-25,30-Jul-25,29-Sep-25,,152,212,6628.0,18453.0,5450.683333,16611.68333,10%,32%,97%,30%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-576,In Progress,Upgrade,BOS,Monetization Billing,34,34,22,03-Mar-25,03-Mar-25,13-May-25,14-Aug-25,10-Oct-25,,164,221,7946.6,7946.6,5055.2,7691.4,3%,65%,92%,64%,Green,[In Prog] late start; 
DSFFLOW-741,In Progress,Upgrade,Network Management,Element Management,159,159,146,22-Apr-25,22-Apr-25,19-May-25,19-Sep-25,10-Oct-25,,150,171,5800.0,5800.0,4740.833333,6025.833333,-4%,92%,90%,82%,Amber,[In Prog] projecting 1%+ EAC effort overrun ; late start; 
DSFFLOW-1278,In Progress,Migration,Core Network,IMS,353,340,289,08-May-25,08-May-25,22-May-25,15-Sep-25,19-Sep-25,,130,134,4478.5,4478.5,4006.075833,4337.075833,3%,85%,102%,89%,Green,[In Prog] late start; 
DSFFLOW-5184,In Progress,Upgrade,"Core Network, Network Management","Activation, Core Network Automation, EPC, Exposure, Signaling, UDM",127,127,66,15-Jun-25,25-Aug-25,25-Aug-25,31-Oct-25,31-Oct-25,,138,67,5333.0,5333.0,3233.0,5116.0,4%,52%,43%,61%,Green,[In Prog] 
DSFFLOW-1416,In Progress,Migration,"Core Network, Network Management","Activation, EPC, IMS, MSS, UDM",139,155,23,23-Apr-25,23-Apr-25,27-May-25,31-Dec-25,31-Dec-25,,252,252,8449.25,8449.25,3050.255,8234.75,3%,15%,60%,36%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2078,In Progress,"Upgrade, Maiden Installation",Core Network,"EPC, IMS",46,55,50,17-Jun-25,17-Jun-25,17-Jun-25,26-Sep-25,26-Sep-25,,101,101,1930.0,3252.0,2924.0,3228.0,1%,91%,96%,90%,Green,[In Prog] 
DSFFLOW-3475,In Progress,Upgrade,Core Network,"EPC, IMS, Signaling, UDM",190,190,118,30-Apr-25,05-May-25,05-May-25,29-Sep-25,29-Sep-25,,152,147,3427.5,3427.5,2866.25,3314.5,3%,62%,95%,84%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-1926,In Progress,Maiden Installation,Core Network,Cloud,97,97,15,26-May-25,26-May-25,10-Jul-25,31-Dec-26,31-Dec-26,,584,584,2188.6,2188.6,817.6,2098.6,4%,15%,21%,37%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2123,In Progress,Maiden Installation,"Core Network, Network Management","Activation, Core Network Automation, EPC, Exposure, UDM",82,82,21,07-May-25,07-May-25,20-Jun-25,30-Oct-26,30-Oct-26,,541,541,6272.0,6272.0,2819.0,6027.0,4%,26%,26%,45%,Green,[In Prog] late start; 
DSFFLOW-2402,In Progress,Upgrade,BOS,Monetization Charging,169,169,24,05-May-25,05-May-25,08-Jul-25,29-Jun-26,30-Jun-26,,420,421,18647.44,18647.44,2646.5,17668.0,5%,15%,33%,15%,Green,[In Prog] late start; 
DSFFLOW-206,In Progress,Upgrade,Core Network,IMS,214,188,93,16-Feb-25,15-Apr-25,15-Apr-25,18-Dec-25,30-Oct-25,,305,198,3892.0,3892.0,2456.5,3362.75,15%,49%,81%,63%,Green,[In Prog] 
DSFFLOW-1307,In Progress,Expansion,BOS,Monetization Charging,161,161,160,11-May-25,11-May-25,11-May-25,21-Aug-25,30-Sep-25,,102,142,4315.75,4315.75,2405.266667,2746.016667,36%,99%,94%,57%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-2047,In Progress,Upgrade,Network Management,Element Management,368,402,50,08-May-25,08-May-25,18-Jun-25,31-Aug-26,31-Aug-26,,480,480,9297.0,11569.0,2279.0,11475.0,1%,12%,29%,20%,Green,[In Prog] late start; 
DSFFLOW-1584,In Progress,Maiden Installation,"Core Network, Network Management","Activation, Core Network Automation, EPC, IMS, Resource Orchestration, UDM",43,53,45,12-May-25,12-May-25,12-May-25,15-Sep-25,15-Sep-25,,126,126,2549.99,2549.99,2148.99,2532.99,1%,85%,106%,84%,Green,[In Prog] 
DSFFLOW-115,In Progress,Upgrade,Network Management,Element Management,192,181,81,16-Mar-25,17-Mar-25,27-Mar-25,29-Jun-25,30-Sep-25,,105,197,3902.0,3750.0,2100.0,2740.0,27%,45%,96%,57%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-1911,In Progress,Migration,Core Network,EPC,41,53,27,03-Apr-25,03-Apr-25,13-Jun-25,30-Nov-25,29-Nov-25,,241,240,3433.0,4421.0,2097.0,4388.0,1%,51%,72%,47%,Green,[In Prog] late start; 
DSFFLOW-2384,In Progress,Upgrade,Network Management,Resource Orchestration,12,12,5,16-Jun-25,01-Jun-25,24-Jun-25,30-Jun-26,31-Dec-26,,379,578,4016.35,4016.35,1772.25,2892.85,29%,42%,20%,44%,Green,[In Prog] late start; 
DSFFLOW-5732,In Progress,Upgrade,Core Network,"Cloud, UDM",149,143,119,27-Jul-25,28-Jul-25,28-Jul-25,30-Oct-25,30-Oct-25,,95,94,2596.0,2540.0,1754.0,2456.0,3%,83%,60%,69%,Green,[In Prog] 
DSFFLOW-3109,In Progress,Upgrade,Core Network,IMS,153,169,102,14-Jul-25,14-Jul-25,14-Jul-25,29-Aug-25,29-Sep-25,,46,77,2101.0,2411.0,1709.26,2192.01,9%,60%,91%,71%,Green,[In Prog] 
DSFFLOW-3760,In Progress,Maiden Installation,Core Network,"Signaling, UDM",29,29,0,31-Mar-25,31-Mar-25,29-Jul-25,31-Mar-26,31-Mar-26,,365,365,6752.0,6752.0,1680.0,6752.0,0%,0%,48%,25%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-2513,In Progress,Maiden Installation,Core Network,"EPC, Signaling",46,46,0,25-Jul-24,25-Jul-24,24-Jul-25,31-Dec-25,31-Dec-25,,524,524,1896.0,1896.0,1584.0,1736.0,8%,0%,81%,84%,Red,[In Prog] efforts burning without any work progress; time ticking without any work progress; late start; 
DSFFLOW-2009,In Progress,Upgrade,Core Network,"Cloud, EPC, IMS, UDM",172,172,150,29-Apr-25,29-Apr-25,29-Apr-25,31-Mar-26,31-Mar-26,,336,336,3164.0,3164.0,2696.0,2975.0,6%,87%,44%,85%,Green,[In Prog] 
DSFFLOW-2689,In Progress,Upgrade,Network Management,Element Management,130,128,58,23-Jun-25,14-Jul-25,14-Jul-25,31-Mar-26,30-Nov-25,,281,139,1759.9,1805.4,813.3997222,1722.399722,5%,45%,51%,45%,Green,[In Prog] 
DSFFLOW-993,In Progress,Maiden Installation,Core Network,UDM,40,40,10,10-Feb-25,10-Feb-25,10-Feb-25,31-Dec-25,31-Dec-25,,324,324,1955.0,1955.0,1045.0,1676.0,15%,25%,69%,53%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-1057,In Progress,"Upgrade, Maiden Installation",Core Network,EPC,86,86,9,07-May-25,16-May-25,16-May-25,30-Jan-26,30-Jan-26,,268,259,3893.75,3893.75,802.5,3876.75,0%,10%,50%,21%,Green,[In Prog] 
DSFFLOW-4850,In Progress,Migration,Core Network,"Core Network Automation, EPC, IMS, MSS, Signaling, UDM",301,301,10,11-Aug-25,11-Aug-25,01-Sep-25,25-Oct-25,25-Oct-25,,75,75,8332.6,8332.6,604.0,8332.6,0%,3%,57%,8%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-5367,In Progress,Maiden Installation,Core Network,Cloud,79,79,8,08-Aug-25,08-Aug-25,26-Aug-25,31-Dec-28,31-Dec-28,,1241,1241,2541.0,2541.0,601.0,2493.0,2%,10%,4%,24%,Green,[In Prog] late start; 
DSFFLOW-4361,In Progress,Upgrade,Core Network,"Cloud, EPC",141,141,15,19-Jun-25,19-Jun-25,19-Jun-25,19-Dec-25,19-Dec-25,,183,183,3597.0,3597.0,571.0,3597.0,0%,11%,52%,16%,Green,[In Prog] 
DSFFLOW-4540,In Progress,Upgrade,Core Network,Cloud,34,34,0,28-Jul-25,14-Jul-25,14-Jul-25,31-Dec-25,21-Feb-26,,156,222,1364.0,1364.0,570.0,1108.0,19%,0%,32%,42%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; 
DSFFLOW-845,In Progress,Upgrade,Core Network,MSS,22,22,7,24-Feb-25,15-Sep-25,09-Sep-25,30-Jun-25,31-Dec-25,,126,107,674.0,674.0,558.0,673.0,0%,32%,8%,83%,Red,[In Prog] efforts burnt outweighing work output; efforts burnt misaligned with time progress; 
DSFFLOW-5636,In Progress,"Maiden Installation, Migration, Business Configuration",BOS,"Common Services-Data Migration, Core Commerce, Monetization Charging",107,107,0,24-Jul-25,24-Jul-25,08-Sep-25,16-Apr-26,16-Apr-26,,266,266,15668.1,15668.1,555.29,15651.06,0%,0%,23%,4%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-5597,In Progress,Upgrade,Core Network,Cloud,34,34,5,10-Aug-25,11-Aug-25,11-Aug-25,30-Oct-25,30-Oct-25,,81,80,1828.0,1906.0,540.0,1810.0,5%,15%,53%,29%,Green,[In Prog] 
DSFFLOW-1087,In Progress,Upgrade,Network Management,Element Management,60,58,34,14-May-25,14-May-25,17-May-25,29-Nov-25,29-Nov-25,,199,199,1160.0,1175.0,811.5,1050.5,11%,59%,66%,69%,Green,[In Prog] 
DSFFLOW-4564,In Progress,Upgrade,Core Network,Cloud,32,32,10,22-Jul-25,22-Jul-25,22-Jul-25,15-Jan-26,15-Jan-26,,177,177,1211.0,1211.0,527.0,1183.0,2%,31%,35%,44%,Green,[In Prog] 
DSFFLOW-1646,In Progress,Upgrade,Network Management,Element Management,67,67,26,27-May-25,21-Jul-25,09-Jun-25,29-Aug-25,17-Oct-25,,94,88,1440.0,1440.0,520.01,1424.01,1%,39%,72%,36%,Green,[In Prog] early start; 
DSFFLOW-4588,In Progress,Maiden Installation,Core Network,"Core Network Automation, EPC, UDM",83,83,0,30-Jul-25,30-Jul-25,08-Aug-25,30-Jun-26,30-Jun-26,,335,335,2284.0,2284.0,519.3997222,2279.0,0%,0%,16%,23%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-5858,In Progress,"Upgrade, Maiden Installation",Core Network,EPC,62,62,2,28-Aug-25,01-Sep-25,01-Sep-25,30-Jun-26,31-Oct-25,,306,60,1370.0,1370.0,510.0,1328.0,3%,3%,36%,37%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-2234,In Progress,Upgrade,Network Management,Element Management & Reporting,38,38,38,17-Jun-25,17-Jun-25,30-Jun-25,31-Oct-25,31-Oct-25,,136,136,652.0,652.0,501.0,501.0,23%,100%,72%,77%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2107,In Progress,Maiden Installation,Core Network,"IMS, UDM",90,90,0,29-May-25,29-May-25,30-Jun-25,27-Feb-26,27-Feb-26,,274,274,4087.7,4087.7,606.5997222,4044.2,1%,0%,43%,15%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-798,In Progress,Maiden Installation,Core Network,Cloud,77,77,0,05-May-25,01-Apr-25,03-Jun-25,30-Dec-25,20-Mar-26,,239,353,6839.0,6839.0,487.75,7613.5,-11%,0%,49%,8%,Red,[In Prog] projecting 5%+ EAC effort overrun; time ticking without any work progress; late start; 
DSFFLOW-2610,In Progress,Upgrade,Core Network,Signaling,11,11,8,27-Jun-25,27-Jun-25,27-Jun-25,31-Dec-25,31-Dec-25,,187,187,605.0,605.0,480.0,605.0,0%,73%,47%,79%,Green,[In Prog] 
DSFFLOW-4396,In Progress,Upgrade,Core Network,MSS,43,41,23,04-Aug-25,04-Aug-25,05-Aug-25,06-Oct-25,06-Oct-25,,63,63,734.0,734.0,476.9166667,691.0833333,6%,57%,78%,65%,Green,[In Prog] 
DSFFLOW-3870,In Progress,Expansion,Core Network,Cloud,62,62,29,14-Jul-25,14-Jul-25,29-Jul-25,24-Dec-25,24-Dec-25,,163,163,727.94,727.94,473.2697222,712.9397222,2%,47%,43%,65%,Green,[In Prog] late start; 
DSFFLOW-2575,In Progress,Maiden Installation,Core Network,Cloud,32,32,7,23-Jun-25,23-Jun-25,14-Jul-25,01-Dec-25,01-Dec-25,,161,161,1262.0,1262.0,472.0,1221.0,3%,22%,57%,37%,Green,[In Prog] late start; 
DSFFLOW-2264,In Progress,"Upgrade, Maiden Installation",BOS,Monetization Charging,571,571,11,16-Jun-25,16-Jun-25,16-Jun-25,16-Feb-26,16-Feb-26,,245,245,5197.5,5197.5,462.0,4958.5,5%,2%,40%,9%,Green,[In Prog] 
DSFFLOW-3562,In Progress,Upgrade,Core Network,Cloud,23,23,12,23-Jul-25,23-Jul-25,23-Jul-25,30-Sep-25,30-Sep-25,,69,69,844.0,844.0,460.0,804.0,5%,52%,89%,57%,Green,[In Prog] 
DSFFLOW-4744,In Progress,Maiden Installation,Core Network,"EPC, UDM",25,17,7,11-Feb-25,11-Feb-25,14-Aug-25,31-Dec-25,31-Dec-25,,323,323,1001.0,1001.0,456.0,1001.0,0%,41%,69%,46%,Green,[In Prog] late start; 
DSFFLOW-1008,In Progress,Upgrade,Network Management,Resource Orchestration,26,25,22,16-Jun-25,03-Jun-25,18-Jun-25,30-Sep-25,30-Sep-25,,106,119,507.1,507.1,451.0,484.1,5%,88%,93%,89%,Green,[In Prog] late start; 
DSFFLOW-3513,In Progress,Maiden Installation,Network Management,Activation,69,69,3,11-Jul-25,11-Jul-25,24-Jul-25,26-Dec-25,26-Dec-25,,168,168,3075.086667,3075.086667,445.0,3032.586667,1%,4%,44%,15%,Green,[In Prog] late start; 
DSFFLOW-3786,In Progress,Maiden Installation,Core Network,"EPC, UDM",29,29,0,31-Mar-25,31-Mar-25,29-Jul-25,31-Mar-26,31-Mar-26,,365,365,10283.0,10283.0,440.0,10283.0,0%,0%,48%,4%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-2593,In Progress,Maiden Installation,Core Network,EPC,16,16,2,25-May-25,25-May-25,02-Jul-25,31-Dec-25,31-Dec-25,,220,220,2581.0,2581.0,439.0,2551.0,1%,13%,57%,17%,Green,[In Prog] late start; 
DSFFLOW-2813,In Progress,Maiden Installation,Network Management,Resource Orchestration,11,11,5,04-May-25,04-May-25,10-Jul-25,31-Mar-26,31-Mar-26,,331,331,1125.0,1125.0,434.75,1125.0,0%,45%,43%,39%,Green,[In Prog] late start; 
DSFFLOW-5335,In Progress,Migration,Core Network,UDM,14,14,2,19-Aug-25,19-Aug-25,26-Aug-25,30-Dec-25,30-Dec-25,,133,133,811.0,811.0,432.5,811.0,0%,15%,26%,53%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-3093,In Progress,Expansion,Core Network,Cloud,89,89,17,04-Jun-25,04-Jun-25,15-Jul-25,31-Mar-26,31-Mar-26,,300,300,2335.5,2335.5,481.0,2293.5,2%,19%,37%,21%,Green,[In Prog] late start; 
DSFFLOW-3852,In Progress,Migration,Core Network,Cloud,118,118,22,22-Jul-25,22-Jul-25,31-Jul-25,31-Dec-25,31-Dec-25,,162,162,2002.5,2002.5,618.0,1936.5,3%,19%,39%,31%,Green,[In Prog] late start; 
DSFFLOW-3233,In Progress,Migration,Core Network,UDM,16,15,1,14-Jul-25,14-Jul-25,12-Aug-25,15-Aug-25,15-Aug-25,,32,32,614.0,614.0,529.0,614.0,0%,8%,215%,86%,Red,[In Prog] efforts burnt outweighing work output; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-2641,In Progress,Upgrade,Network Management,Element Management,24,24,18,01-Jul-25,01-Jul-25,01-Jul-25,29-Sep-25,29-Sep-25,,90,90,850.0,850.0,705.95,830.45,2%,75%,92%,83%,Green,[In Prog] 
DSFFLOW-4260,In Progress,Upgrade,Core Network,Cloud,86,86,20,06-Jul-25,06-Jul-25,06-Jul-25,29-Nov-25,29-Nov-25,,146,146,2248.0,2248.0,732.0,1920.0,15%,23%,54%,33%,Green,[In Prog] 
DSFFLOW-1041,In Progress,Maiden Installation,Core Network,IMS,17,13,13,14-May-25,14-May-25,16-May-25,30-Apr-27,30-Apr-27,27-Jun-25,716,716,728.0,728.0,728.0,604.0,17%,100%,6%,100%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-1337,In Progress,"Upgrade, Expansion",BOS,Monetization Charging,338,338,18,14-Apr-25,14-Apr-25,30-May-25,30-Oct-26,30-Oct-26,,564,564,5063.0,5063.0,786.25,4796.75,5%,5%,29%,16%,Green,[In Prog] late start; 
DSFFLOW-5303,In Progress,Maiden Installation,Core Network,Cloud,68,68,7,12-Aug-25,12-Aug-25,26-Aug-25,31-Dec-28,31-Dec-28,,1237,1237,2709.5,2709.5,728.0,2619.5,3%,10%,3%,27%,Green,[In Prog] late start; 
DSFFLOW-2497,In Progress,Migration,"Core Network, Network Management","Activation, EPC, Resource Orchestration",96,98,18,29-May-25,30-Jun-25,27-Jun-25,27-Feb-26,30-Aug-25,,274,61,2110.0,2488.0,788.0,2486.0,0%,18%,137%,32%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-611,In Progress,Maiden Installation,Core Network,EPC,58,58,0,10-Feb-25,10-Feb-25,21-Jul-25,31-Dec-25,31-Dec-25,,324,324,2055.0,2055.0,727.0,1899.0,8%,0%,69%,35%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-5480,In Progress,Upgrade,Core Network,Cloud,140,140,1,25-Aug-25,25-Aug-25,25-Aug-25,31-Aug-26,31-Aug-26,,371,371,8499.5,8760.5,722.5,8760.5,0%,1%,8%,8%,Green,[In Prog] 
DSFFLOW-4213,In Progress,Upgrade,Core Network,IMS,80,80,40,25-Jul-25,30-Jul-25,30-Jul-25,31-Oct-25,31-Oct-25,,98,93,1036.0,1036.0,702.6475,1022.770833,1%,50%,59%,68%,Green,[In Prog] 
DSFFLOW-1599,In Progress,Upgrade,Network Management,Element Management,63,62,51,15-May-25,15-May-25,24-Jun-25,29-Aug-25,30-Sep-25,,106,138,1102.0,1094.0,697.5,771.5,29%,82%,94%,64%,Green,[In Prog] late start; 
DSFFLOW-4636,In Progress,Maiden Installation,Core Network,"Core Network Automation, EPC",51,51,0,30-Jun-25,30-Jun-25,22-Aug-25,29-Jun-26,29-Jun-26,,364,364,1716.0,1716.0,795.0,1660.0,3%,0%,23%,46%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-1263,In Progress,Maiden Installation,Core Network,EPC,36,36,11,11-May-25,11-May-25,11-Jul-25,01-Aug-25,01-Aug-25,,82,82,871.0,871.0,687.75,809.0,8%,31%,163%,79%,Amber,[In Prog] efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-1368,In Progress,Migration,Core Network,EPC,21,21,1,23-May-25,23-May-25,25-Jun-25,31-Dec-25,31-Dec-25,,222,222,1214.8,1214.8,672.03,1214.8,0%,5%,57%,57%,Red,[In Prog] efforts burnt outweighing work output; work progress misaligned with time progress; late start; 
DSFFLOW-1151,In Progress,Upgrade,BOS,Monetization Charging,498,498,78,01-Jun-25,01-Jun-25,01-Jun-25,28-Feb-26,28-Feb-26,,272,272,3023.0,3023.0,783.05,2908.0,4%,16%,42%,26%,Green,[In Prog] 
DSFFLOW-3142,In Progress,Maiden Installation,Core Network,Cloud,100,100,7,06-Jul-25,06-Jul-25,15-Jul-25,14-Sep-25,14-Sep-25,,70,70,1766.6,1766.6,670.0,1688.6,4%,8%,113%,38%,Amber,[In Prog] efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-3730,In Progress,Migration,Core Network,UDM,16,15,0,28-Jul-25,28-Jul-25,12-Aug-25,31-Oct-25,31-Oct-25,,95,95,1283.0,1283.0,634.5,1283.0,0%,0%,59%,49%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-894,In Progress,Upgrade,Core Network,UDM,23,23,6,06-May-25,06-May-25,06-May-25,31-Dec-25,31-Dec-25,,239,239,940.0,940.0,643.0,940.0,0%,26%,58%,68%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-1729,In Progress,Upgrade,Network Management,Element Management,67,64,26,07-May-25,07-May-25,09-Jun-25,31-Oct-25,31-Oct-25,,177,177,1240.0,1200.0,651.0,1187.0,1%,41%,78%,54%,Green,[In Prog] late start; 
DSFFLOW-2467,In Progress,Upgrade,BOS,D&A Mediation,25,25,6,11-Jun-25,11-Jun-25,26-Jun-25,30-Nov-25,30-Nov-25,,172,172,1232.5,1232.5,669.31,1082.84,12%,24%,60%,54%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2708,On Hold,Upgrade,Core Network,"Cloud, Signaling",14,14,3,01-Jun-25,01-Jun-25,01-Jun-25,31-Oct-25,31-Oct-25,,152,152,315.0,315.0,121.0,308.0,2%,21%,75%,38%,Green,[On Hold] work progress misaligned with time progress; 
DSFFLOW-5319,On Hold,Upgrade,Core Network,Cloud,16,16,15,25-Aug-25,25-Aug-25,26-Aug-25,11-Sep-25,11-Sep-25,,17,17,102.5,102.5,94.01666667,102.5166667,0%,94%,161%,92%,Amber,[On Hold] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-1247,On Hold,Upgrade,Core Network,"EPC, IMS, UDM",168,168,0,06-May-25,23-May-25,23-May-25,31-Dec-25,31-Dec-25,,239,222,2729.0,2729.0,581.5,2643.25,3%,0%,57%,21%,Amber,[On Hold] time ticking without any work progress; efforts burnt misaligned with work progress; 
DSFFLOW-5960,On Hold,Maiden Installation,BOS,D&A Mediation,27,27,3,13-Aug-25,13-Aug-25,09-Sep-25,31-Mar-26,31-Mar-26,,230,230,473.3,473.3,91.2,441.5,8%,11%,18%,19%,Green,[On Hold] late start; 
DSFFLOW-3715,On Hold,Upgrade,Core Network,MSS,15,15,3,10-Jun-25,25-Jul-25,25-Jul-25,30-Aug-25,31-Oct-25,,81,98,187.0,187.0,127.5,187.0,0%,20%,61%,68%,Amber,[On Hold] efforts burnt misaligned with work progress; 
DSFFLOW-2368,On Hold,Upgrade,Network Management,"Activation, Resource Orchestration",34,34,15,01-Jun-25,01-Jun-25,20-Jun-25,31-Aug-33,31-Aug-33,,3013,3013,766.71,766.71,437.7,738.71,4%,44%,4%,57%,Amber,[On Hold] efforts burnt misaligned with time progress; late start; 
DSFFLOW-2931,On Hold,Maiden Installation,Network Management,Activation,46,46,4,08-Jun-25,08-Jun-25,09-Jun-25,30-Dec-25,30-Dec-25,,205,205,1061.25,1061.25,267.72,1027.07,3%,9%,52%,25%,Green,[On Hold] 
DSFFLOW-2452,On Hold,Maiden Installation,Network Management,Resource Orchestration,44,44,2,29-May-25,29-May-25,11-Jul-25,27-Feb-26,27-Feb-26,,274,274,1157.0,1157.0,111.58,1157.0,0%,5%,43%,10%,Green,[On Hold] late start; 
