DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-4744,In Progress,Maiden Installation,Core Network,"EPC, UDM",25,25,1,11-Feb-25,11-Feb-25,14-Aug-25,31-Dec-25,31-Dec-25,,323,323,1001,1001,124,1001,0%,4%,59%,12%,Green,[In Prog] work progress misaligned with time progress; late start; 
DSFFLOW-2708,In Progress,Upgrade,Core Network,"Cloud, Signaling",14,14,3,01-Jun-25,01-Jun-25,04-Jul-25,31-Oct-25,31-Oct-25,,152,152,315,315,121,308,2%,21%,52%,38%,Green,[In Prog] late start; 
DSFFLOW-4411,In Progress,Upgrade,Network Management,Element Management & Reporting,34,32,9,06-Aug-25,06-Aug-25,11-Aug-25,30-Sep-25,30-Sep-25,,55,55,515.95,481.95,114,349.45,27%,29%,25%,24%,Green,[In Prog] 
DSFFLOW-4230,In Progress,Upgrade,Core Network,Cloud,17,17,8,03-Aug-25,03-Aug-25,04-Aug-25,21-Aug-25,21-Aug-25,,18,18,216,216,112,192,11%,47%,89%,52%,Green,[In Prog] 
DSFFLOW-3127,In Progress,Upgrade,Core Network,EPC,57,57,0,21-Jun-25,21-Jun-25,25-Jul-25,30-Aug-25,30-Aug-25,,70,70,638,638,112,622,3%,0%,85%,18%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-4198,In Progress,Upgrade,Core Network,UDM,16,16,4,30-Jul-25,01-Aug-25,04-Aug-25,15-Sep-25,15-Sep-25,,47,45,506,506,110.5,471.5,8%,25%,41%,22%,Green,[In Prog] 
DSFFLOW-3078,In Progress,Upgrade,Core Network,UDM,27,27,1,02-Jul-25,03-Jul-25,03-Jul-25,01-Sep-25,19-Sep-25,19-Sep-25,61,78,656,656,110.5,655.5,0%,4%,100%,17%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; actual End Date exceeds Today; 
DSFFLOW-4245,In Progress,Upgrade,Network Management,"Activation, Element Management & Reporting, Resource Orchestration",41,41,2,21-Jul-25,21-Jul-25,06-Aug-25,30-Sep-25,30-Sep-25,,71,71,461.9,461.9,91.89,461.9,0%,5%,42%,20%,Green,[In Prog] late start; 
DSFFLOW-2575,In Progress,Maiden Installation,Core Network,Cloud,32,32,2,23-Jun-25,23-Jun-25,14-Jul-25,01-Dec-25,01-Dec-25,,161,161,1262,1262,200,1221,3%,6%,36%,16%,Green,[In Prog] late start; 
DSFFLOW-3745,In Progress,Migration,Core Network,UDM,15,14,0,28-Jul-25,28-Jul-25,12-Aug-25,26-Dec-25,26-Dec-25,,151,151,2080,2080,363.5,2080,0%,0%,15%,17%,Green,[In Prog] late start; 
DSFFLOW-4588,In Progress,Maiden Installation,Core Network,"Core Network Automation, EPC, UDM",73,73,0,30-Jul-25,30-Jul-25,08-Aug-25,30-Jun-26,30-Jun-26,,335,335,1961,1961,,1956,0%,0%,6%,0%,Green,[In Prog] late start; 
DSFFLOW-64,In Progress,Upgrade,Network Management,Element Management & Reporting,50,48,36,02-Mar-25,02-Mar-25,13-Mar-25,30-Aug-25,30-Aug-25,,181,181,1180.12,1180.12,1082.509722,1040.619722,12%,75%,94%,92%,Green,[In Prog] late start; 
DSFFLOW-677,In Progress,Upgrade,Core Network,IMS,101,101,67,24-Apr-25,24-Apr-25,14-Apr-25,31-Dec-25,31-Dec-25,30-Sep-25,251,251,1584,1584,1058,1504,5%,66%,63%,67%,Green,[In Prog] early start; actual End Date exceeds Today; 
DSFFLOW-993,In Progress,Maiden Installation,Core Network,UDM,40,40,10,10-Feb-25,10-Feb-25,10-Feb-25,31-Dec-25,31-Dec-25,31-Dec-25,324,324,1955,1955,1025,1676,15%,25%,100%,52%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; actual End Date exceeds Today; 
DSFFLOW-2009,In Progress,Upgrade,Core Network,"Cloud, EPC, IMS, UDM",172,172,120,29-Apr-25,29-Apr-25,23-Jun-25,31-Mar-26,31-Mar-26,,336,336,3200,3200,2637.5,3011,6%,70%,34%,82%,Green,[In Prog] late start; 
DSFFLOW-2882,In Progress,Upgrade,BOS,"D&A Mediation, Monetization Billing",37,37,3,10-May-25,10-May-25,10-Jul-25,18-Nov-25,18-Nov-25,,192,192,2844.249722,2844.249722,1011.5,2750.849722,3%,8%,53%,36%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-4140,In Progress,Upgrade,Core Network,"Cloud, EPC, IMS, UDM",97,97,0,16-Apr-25,16-Apr-25,01-Aug-25,30-Dec-25,30-Dec-25,,258,258,2201,2201,980,2105,4%,0%,49%,45%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-1278,In Progress,Migration,Core Network,IMS,353,341,139,08-May-25,08-May-25,22-May-25,15-Sep-25,19-Sep-25,19-Sep-25,130,134,4478.5,4478.5,2641.345833,4014.575833,10%,41%,100%,59%,Green,[In Prog] work progress misaligned with time progress; late start; actual End Date exceeds Today; 
DSFFLOW-1119,In Progress,Upgrade,Network Management,Element Management & Reporting,161,160,37,15-May-25,21-May-25,02-Jun-25,31-Dec-25,31-Dec-25,,230,224,3306,3298,1090.5,2875,13%,23%,40%,33%,Green,[In Prog] late start; 
