DSF Project ID,Delivery State,Flow,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,EAC Hr,EAC Efficiency,Work Prog,Time Prog,Effort Prog,RAG,RAG Reason
DSFFLOW-1263,In Progress,Maiden Installation,Core Network,EPC,36,36,6,11-May-25,11-May-25,11-Jul-25,01-Aug-25,01-Aug-25,,82,82,871,871,527.25,823,6%,17%,122%,61%,Amber,[In Prog] efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-1840,In Progress,Upgrade,Network Management,Element Management & Reporting,1221,1221,521,08-Jun-25,08-Jun-25,23-Jun-25,29-Nov-25,29-Nov-25,,174,174,17146.71,17146.71,7383.364444,16921.51111,1%,43%,42%,43%,Green,[In Prog] late start; 
DSFFLOW-760,In Progress,Upgrade,BOS,"D&A Mediation, Monetization Charging",2546,2546,608,08-Apr-25,08-Apr-25,12-May-25,20-Apr-26,20-Apr-26,,377,377,30976.4,30976.4,8298.661667,29533.81167,5%,24%,35%,27%,Green,[In Prog] late start; 
DSFFLOW-462,In Progress,Upgrade,Core Network,MSS,28,28,10,17-Mar-25,17-Mar-25,30-Apr-25,30-Jun-25,30-Jun-25,,105,105,469,469,469,831,-77%,36%,147%,100%,Red,[In Prog] projecting 5%+ EAC effort overrun; efforts burnt outweighing work output; work lagging as effort nears budget; work progress misaligned with time progress; late start; 
DSFFLOW-1599,In Progress,Upgrade,Network Management,Element Management & Reporting,63,63,17,15-May-25,15-May-25,24-Jun-25,29-Aug-25,30-Sep-25,,106,138,1102,1102,458.5,918.5,17%,27%,70%,42%,Green,[In Prog] late start; 
DSFFLOW-3870,In Progress,Expansion,Core Network,Cloud,62,62,15,14-Jul-25,14-Jul-25,29-Jul-25,24-Dec-25,24-Dec-25,,163,163,727.94,727.94,458.2697222,727.9397222,0%,24%,23%,63%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-952,In Progress,Migration,Core Network,UDM,18,17,4,12-May-25,12-May-25,12-May-25,29-Jun-25,29-Jun-25,,48,48,542.75,542.75,446.25,542.75,0%,24%,204%,82%,Red,[In Prog] efforts burnt outweighing work output; efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-3786,In Progress,Maiden Installation,Core Network,"EPC, UDM",29,29,0,31-Mar-25,31-Mar-25,29-Jul-25,31-Mar-26,31-Mar-26,,365,365,10283,10283,440,10283,0%,0%,39%,4%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-2593,In Progress,Maiden Installation,Core Network,EPC,16,16,2,25-May-25,25-May-25,02-Jul-25,31-Dec-25,31-Dec-25,,220,220,2581,2581,439,2551,1%,13%,39%,17%,Green,[In Prog] late start; 
DSFFLOW-2219,In Progress,Expansion,Core Network,Cloud,37,35,25,09-Jun-25,09-Jun-25,18-Jun-25,12-Dec-25,12-Dec-25,,186,186,517.35,502.35,476.35,498.85,1%,71%,39%,95%,Red,[In Prog] work lagging as effort nears budget; efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; late start; 
DSFFLOW-611,In Progress,Maiden Installation,Core Network,EPC,58,58,0,10-Feb-25,10-Feb-25,21-Jul-25,31-Dec-25,31-Dec-25,,324,324,2055,2055,727,1899,8%,0%,59%,35%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-2467,In Progress,Upgrade,BOS,D&A Mediation,25,25,3,11-Jun-25,11-Jun-25,26-Jun-25,30-Nov-25,30-Nov-25,,172,172,1232.5,1232.5,528,1155.35,6%,12%,40%,43%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2689,In Progress,Upgrade,Network Management,Element Management & Reporting,124,122,40,23-Jun-25,23-Jun-25,14-Jul-25,31-Mar-26,31-Mar-26,,281,281,1759.9,1759.9,529.8997222,1720.399722,2%,33%,21%,30%,Green,[In Prog] late start; 
DSFFLOW-2750,In Progress,"Maiden Installation, Migration",Core Network,IMS,189,189,7,24-Jun-25,24-Jun-25,09-Jul-25,26-Dec-25,26-Dec-25,,185,185,5869,5869,700.6,5749,2%,4%,31%,12%,Green,[In Prog] late start; 
DSFFLOW-1894,In Progress,Upgrade,Core Network,EPC,25,25,1,31-Dec-24,31-Dec-24,26-Jun-25,30-Dec-25,30-Dec-25,,364,364,1584,1584,688,1584,0%,4%,64%,43%,Amber,[In Prog] efforts burnt misaligned with work progress; work progress misaligned with time progress; late start; 
DSFFLOW-1368,In Progress,Migration,Core Network,EPC,21,21,0,23-May-25,23-May-25,25-Jun-25,31-Dec-25,31-Dec-25,,222,222,1214.8,1214.8,672.03,1214.8,0%,0%,40%,57%,Red,[In Prog] efforts burning without any work progress; time ticking without any work progress; late start; 
DSFFLOW-1247,In Progress,Upgrade,Core Network,"EPC, IMS, UDM",168,168,0,06-May-25,06-May-25,23-May-25,31-Dec-25,31-Dec-25,,239,239,2729,2729,667.25,2643.25,3%,0%,44%,24%,Amber,[In Prog] time ticking without any work progress; efforts burnt misaligned with work progress; late start; 
DSFFLOW-2169,In Progress,Maiden Installation,Core Network,"EPC, Signaling, UDM",327,327,0,15-Jun-25,15-Jun-25,24-Jun-25,20-Aug-27,20-Aug-27,,796,796,29308.1,29308.1,630.2,29302.09,0%,0%,8%,2%,Green,[In Prog] late start; 
DSFFLOW-2107,In Progress,Maiden Installation,Core Network,"UDM, IMS",90,90,0,29-May-25,29-May-25,30-Jun-25,27-Feb-26,27-Feb-26,,274,274,4425.7,4425.7,606.5997222,4382.2,1%,0%,30%,15%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-2497,In Progress,Migration,"Core Network, Network Management","Activation, EPC, Resource Orchestration",96,96,18,29-May-25,29-May-25,27-Jun-25,27-Feb-26,27-Feb-26,,274,274,2112,2112,606,2112,0%,19%,30%,29%,Green,[In Prog] late start; 
DSFFLOW-3233,In Progress,Migration,Core Network,UDM,16,15,1,14-Jul-25,14-Jul-25,12-Aug-25,15-Aug-25,15-Aug-25,,32,32,614,614,529,614,0%,8%,113%,86%,Red,[In Prog] efforts burnt outweighing work output; work progress misaligned with time progress; late start; 
DSFFLOW-1057,In Progress,"Upgrade, Maiden Installation",Core Network,EPC,86,86,6,07-May-25,07-May-25,16-May-25,30-Jan-26,30-Jan-26,30-Jan-26,268,268,3893.75,3893.75,589,3876.75,0%,8%,100%,15%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; actual End Date exceeds Today; 
DSFFLOW-2249,In Progress,"Upgrade, Expansion, Maiden Installation",BOS,Monetization Charging,396,396,11,22-Jun-25,22-Jun-25,27-Jun-25,19-Sep-25,19-Sep-25,,89,89,3683.11,3683.11,579.73,3482.11,5%,3%,66%,16%,Amber,[In Prog] efforts burnt misaligned with time progress; work progress misaligned with time progress; 
DSFFLOW-1166,In Progress,Upgrade,Core Network,Cloud,70,70,26,19-May-25,19-May-25,06-Jun-25,30-Dec-25,30-Dec-25,,225,225,1196,1196,567.6,1159.5,3%,37%,41%,47%,Green,[In Prog] late start; 
DSFFLOW-2321,In Progress,Upgrade,Core Network,Exposure,51,51,23,02-Jun-25,02-Jun-25,19-Jun-25,29-Aug-25,29-Aug-25,,88,88,881.75,881.75,558.55,841.75,5%,45%,89%,63%,Green,[In Prog] late start; 
DSFFLOW-507,In Progress,Upgrade,Network Management,Element Management & Reporting,527,527,460,28-Feb-25,01-Mar-25,26-Jun-25,30-Jul-25,30-Sep-25,,152,213,6628,6628,4524.683333,5137.183333,22%,87%,80%,68%,Green,[In Prog] late start; 
DSFFLOW-1926,In Progress,Maiden Installation,Core Network,Cloud,97,97,0,26-May-25,26-May-25,10-Jul-25,31-Dec-26,31-Dec-26,,584,584,2188.6,2188.6,557.6,2158.6,1%,0%,15%,25%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-1087,In Progress,Upgrade,Network Management,Element Management & Reporting,58,56,17,14-May-25,14-May-25,17-May-25,29-Nov-25,29-Nov-25,,199,199,990,978,543.5,938,4%,30%,49%,57%,Amber,[In Prog] efforts burnt misaligned with work progress; 
DSFFLOW-1337,In Progress,"Upgrade, Expansion",BOS,Monetization Charging,338,338,5,14-Apr-25,14-Apr-25,30-May-25,30-Oct-26,30-Oct-26,,564,564,5063,5063,537.25,4853,4%,1%,23%,11%,Green,[In Prog] late start; 
DSFFLOW-3669,In Progress,Upgrade,Core Network,"EPC, IMS, Signaling, UDM",226,226,0,09-Jun-25,09-Jun-25,28-Jul-25,30-Oct-25,30-Oct-25,,143,143,4764,4764,588.75,4691.75,2%,0%,50%,12%,Amber,[In Prog] time ticking without any work progress; late start; 
DSFFLOW-477,In Progress,"Upgrade, Maiden Installation",Core Network,EPC,76,76,34,08-Nov-24,08-Nov-24,29-Apr-25,28-Feb-26,28-Feb-26,,477,477,2867.5,2867.5,2254,2797.5,2%,45%,60%,79%,Amber,[In Prog] efforts burnt misaligned with work progress; late start; 
DSFFLOW-2368,On Hold,Upgrade,Network Management,"Activation, Resource Orchestration",34,34,15,01-Jun-25,01-Jun-25,20-Jun-25,31-Aug-33,31-Aug-33,,3013,3013,766.71,766.71,437.7,738.71,4%,44%,3%,57%,Amber,[On Hold] efforts burnt misaligned with time progress; late start; 
DSFFLOW-133,On Hold,Upgrade,BOS,Core Commerce,423,423,165,17-Mar-25,17-Mar-25,09-Apr-25,30-Jun-25,15-Aug-25,,105,151,3067,3067,1563.000833,3136.999167,-2%,39%,103%,51%,Amber,[On Hold] projecting 1%+ EAC effort overrun ; efforts burnt misaligned with time progress; work progress misaligned with time progress; late start; 
DSFFLOW-2452,On Hold,Maiden Installation,Network Management,Resource Orchestration,44,44,2,29-May-25,29-May-25,11-Jul-25,27-Feb-26,27-Feb-26,,274,274,1157,1157,111.58,1157,0%,5%,30%,10%,Green,[On Hold] late start; 
DSFFLOW-3443,On Hold,Upgrade,Network Management,Element Management & Reporting,21,15,8,14-Jul-25,14-Jul-25,14-Jul-25,19-Sep-25,19-Sep-25,01-Aug-25,67,67,158.5,158.5,137,229,-44%,53%,29%,86%,Red,[On Hold] projecting 5%+ EAC effort overrun; efforts burnt misaligned with work progress; efforts burnt misaligned with time progress; 
DSFFLOW-2931,On Hold,Maiden Installation,Network Management,Activation,46,46,4,08-Jun-25,08-Jun-25,09-Jun-25,30-Dec-25,30-Dec-25,,205,205,1061.25,1061.25,267.72,1027.07,3%,9%,35%,25%,Green,[On Hold] 
DSFFLOW-1646,On Hold,Upgrade,Network Management,Element Management & Reporting,67,67,24,27-May-25,21-Jul-25,09-Jun-25,29-Aug-25,30-Sep-25,,94,71,1440,1440,504.01,1424.01,1%,36%,42%,35%,Green,[On Hold] early start; 
DSFFLOW-3265,Assigned,Migration,Core Network,"EPC, UDM, IMS, Core Network Automation, Cloud",88,88,0,15-May-25,15-May-25,,20-Nov-25,20-Nov-25,,189,189,8356.5,8356.5,,8356.5,0%,0%,51%,0%,Amber,[Assigned] with 96 days past due start date; 
DSFFLOW-4850,Assigned,Migration,Core Network,"Core Network Automation, EPC, IMS, MSS, Signaling, UDM",301,301,0,11-Aug-25,11-Aug-25,,25-Oct-25,25-Oct-25,,75,75,8332.6,8332.6,,8332.6,0%,0%,12%,0%,Amber,[Assigned] with 8 days past due start date; 
DSFFLOW-4624,Assigned,Maiden Installation,Core Network,Signaling,18,18,0,09-Aug-25,09-Aug-25,,29-Jun-26,29-Jun-26,,324,324,570,570,,570,0%,0%,3%,0%,Amber,[Assigned] with 10 days past due start date; 
DSFFLOW-4628,Assigned,Maiden Installation,Core Network,"Core Network Automation, UDM",29,29,0,09-Aug-25,09-Aug-25,,29-Jun-26,29-Jun-26,,324,324,730,730,,730,0%,0%,3%,0%,Amber,[Assigned] with 10 days past due start date; 
DSFFLOW-4636,Assigned,Maiden Installation,Core Network,"Core Network Automation, EPC",51,51,0,30-Jun-25,30-Jun-25,,29-Jun-26,29-Jun-26,,364,364,1716,1716,,1716,0%,0%,15%,0%,Amber,[Assigned] with 50 days past due start date; 
DSFFLOW-325,Assigned,Upgrade,Core Network,MSS,34,34,0,22-Apr-25,22-Apr-25,,31-Dec-26,31-Dec-26,,618,618,512,512,,512,0%,0%,19%,0%,Amber,[Assigned] with 119 days past due start date; 
DSFFLOW-4540,Assigned,Upgrade,Core Network,Cloud,34,34,0,28-Jul-25,28-Jul-25,,31-Dec-25,31-Dec-25,,156,156,1364,1364,,1364,0%,0%,15%,0%,Amber,[Assigned] with 22 days past due start date; 
DSFFLOW-4916,Assigned,Upgrade,Network Management,Element Management & Reporting,78,78,0,18-Aug-25,18-Aug-25,,15-Dec-25,15-Dec-25,,119,119,1231.8,1231.8,,1231.8,0%,0%,2%,0%,Amber,[Assigned] with 1 days past due start date; 
DSFFLOW-1809,Assigned,"Upgrade, Maiden Installation",Core Network,"MSS, Signaling",46,46,0,03-Mar-25,03-Mar-25,,15-Dec-25,15-Dec-25,,287,287,1202,1202,,1202,0%,0%,59%,0%,Amber,[Assigned] with 169 days past due start date; 
DSFFLOW-3010,Assigned,Upgrade,Core Network,Cloud,47,47,0,04-Jul-25,04-Jul-25,,31-Dec-25,31-Dec-25,,180,180,1803,1803,,1803,0%,0%,26%,0%,Amber,[Assigned] with 46 days past due start date; 
DSFFLOW-3528,Assigned,Upgrade,Core Network,EPC,130,130,0,04-Jul-25,04-Jul-25,,31-Dec-25,31-Dec-25,,180,180,1992,1992,,1992,0%,0%,26%,0%,Amber,[Assigned] with 46 days past due start date; 
DSFFLOW-3630,Assigned,Migration,Core Network,Cloud,60,60,0,04-Jul-25,04-Jul-25,,31-Dec-25,31-Dec-25,,180,180,2549,2549,,2549,0%,0%,26%,0%,Amber,[Assigned] with 46 days past due start date; 
DSFFLOW-2916,Assigned,Maiden Installation,Core Network,MSS,12,12,0,15-May-25,15-May-25,,21-Dec-26,21-Dec-26,,585,585,204,204,,204,0%,0%,17%,0%,Amber,[Assigned] with 96 days past due start date; 
DSFFLOW-4880,Assigned,Migration,Core Network,"Cloud-3PP/MPBN, IMS, MSS, Signaling, UDM",127,127,0,13-Aug-25,13-Aug-25,,05-Dec-25,05-Dec-25,,114,114,2334.2,2334.2,,2334.2,0%,0%,6%,0%,Amber,[Assigned] with 6 days past due start date; 
DSFFLOW-4729,Assigned,Upgrade,Core Network,Cloud-3PP/MPBN,10,10,0,01-Aug-25,01-Aug-25,,31-Oct-25,31-Oct-25,,91,91,14,14,,14,0%,0%,21%,0%,Amber,[Assigned] with 18 days past due start date; 
DSFFLOW-4955,Assigned,Maiden Installation,Network Management,Element Management & Reporting,77,77,0,18-Aug-25,18-Aug-25,,28-Nov-25,28-Nov-25,,102,102,2003.5,2003.5,,2003.5,0%,0%,2%,0%,Amber,[Assigned] with 1 days past due start date; 
DSFFLOW-3998,Assigned,Upgrade,Core Network,MSS,13,13,0,25-Jul-25,25-Jul-25,,15-Apr-26,15-Apr-26,,264,264,220,220,,220,0%,0%,10%,0%,Amber,[Assigned] with 25 days past due start date; 
DSFFLOW-3418,Assigned,Upgrade,Core Network,IMS,38,38,0,14-Jul-25,14-Jul-25,,12-Sep-25,12-Sep-25,,60,60,516,516,,516,0%,0%,61%,0%,Amber,[Assigned] with 36 days past due start date; 
DSFFLOW-3411,Assigned,Upgrade,Core Network,IMS,46,46,0,14-Jul-25,14-Jul-25,,15-Aug-25,15-Aug-25,,32,32,542,542,,542,0%,0%,113%,0%,Amber,[Assigned] with 36 days past due start date; 
DSFFLOW-4865,Assigned,Upgrade,Core Network,"MSS, Signaling",23,23,0,06-Jun-24,06-Jun-24,,21-Aug-25,21-Aug-25,,441,441,282.5,282.5,,282.5,0%,0%,100%,0%,Amber,[Assigned] with 439 days past due start date; 
DSFFLOW-4713,Assigned,Upgrade,Core Network,MSS,38,38,0,25-Jul-25,25-Jul-25,,30-Aug-25,30-Aug-25,,36,36,652,652,,652,0%,0%,70%,0%,Amber,[Assigned] with 25 days past due start date; 
DSFFLOW-4013,Assigned,Maiden Installation,Core Network,MSS,38,38,0,25-Jul-25,25-Jul-25,,15-Apr-26,15-Apr-26,,264,264,2613,2613,,2613,0%,0%,10%,0%,Amber,[Assigned] with 25 days past due start date; 
DSFFLOW-4525,Assigned,Migration,Core Network,UDM,15,15,0,11-Aug-25,11-Aug-25,,30-Jan-26,30-Jan-26,,172,172,1277,1277,,1277,0%,0%,5%,0%,Amber,[Assigned] with 8 days past due start date; 
DSFFLOW-2828,Assigned,Migration,Core Network,UDM,15,15,0,14-Jul-25,14-Jul-25,,28-Nov-25,28-Nov-25,,137,137,593,593,324,593,0%,0%,27%,57%,Red,[Assigned] with wrong project state with efforts burning; 36 days past due start date; 
DSFFLOW-3294,Assigned,Upgrade,Core Network,IMS,65,65,0,08-Jul-25,08-Jul-25,,22-Sep-25,22-Sep-25,,76,76,312,312,,312,0%,0%,57%,0%,Amber,[Assigned] with 42 days past due start date; 
DSFFLOW-937,Backlog,Upgrade,Core Network,IMS,16,16,2,06-May-25,06-May-25,,29-Jun-25,29-Jun-25,,54,54,176,176,108,173,2%,13%,193%,61%,Red,[Backlog] with wrong project state with work happening; efforts burning; 105 days past due start date; 
DSFFLOW-626,Backlog,Maiden Installation,Core Network,EPC,34,34,0,29-Apr-25,29-Apr-25,29-Apr-25,31-Aug-25,31-Aug-25,15-Sep-25,124,124,2496,2496,904,2392,4%,0%,113%,36%,Red,[Backlog] with wrong project state with efforts burning; 112 days past due start date; actual End Date exceeds Today; 
DSFFLOW-1322,Backlog,Upgrade,Core Network,"EPC, Exposure, UDM",88,88,22,22-Apr-25,22-Apr-25,,30-Aug-25,30-Aug-25,,130,130,981.5,981.5,748.5,981.5,0%,25%,92%,76%,Red,[Backlog] with wrong project state with work happening; efforts burning; 119 days past due start date; 
DSFFLOW-1474,Backlog,Upgrade,Core Network,IMS,54,54,5,24-Mar-25,24-Mar-25,,30-Jun-25,02-Feb-26,,98,315,429.5,429.5,72,357.5,17%,9%,47%,17%,Red,[Backlog] with wrong project state with work happening; efforts burning; 148 days past due start date; 
DSFFLOW-356,Backlog,Expansion,Core Network,UDM,13,13,0,18-Dec-24,18-Dec-24,,31-Jul-26,31-Jul-26,,590,590,222,222,,222,0%,0%,41%,0%,Amber,[Backlog] with 244 days past due start date; 
DSFFLOW-845,Backlog,Upgrade,Core Network,MSS,22,22,0,24-Feb-25,24-Feb-25,,30-Jun-25,30-Jun-25,,126,126,674,674,,674,0%,0%,139%,0%,Amber,[Backlog] with 176 days past due start date; 
DSFFLOW-371,Backlog,Upgrade,Core Network,MSS,28,28,0,24-Mar-25,24-Mar-25,,25-Jul-25,25-Jul-25,,123,123,700,700,,700,0%,0%,120%,0%,Amber,[Backlog] with 148 days past due start date; 
DSFFLOW-894,Backlog,Upgrade,Core Network,UDM,23,23,0,06-May-25,06-May-25,,31-Dec-25,31-Dec-25,,239,239,924,924,480,924,0%,0%,44%,52%,Red,[Backlog] with wrong project state with efforts burning; 105 days past due start date; 
DSFFLOW-1223,Backlog,Expansion,Core Network,"EPC, UDM, Signaling",166,166,1,09-May-25,09-May-25,,31-Dec-25,31-Dec-25,,236,236,33976,33976,1129,33976,0%,1%,43%,3%,Red,[Backlog] with wrong project state with work happening; efforts burning; 102 days past due start date; 
DSFFLOW-879,Rejected,Upgrade,Network Management,Element Management & Reporting,12,12,0,09-May-25,09-May-25,,29-Jun-25,29-Jun-25,,51,51,0,0,,0,0%,0%,198%,0%,,
