label,precision,recall,f1,support
0,0.8076923076923077,1.0,0.8936170212765957,21
1,1.0,0.75,0.8571428571428571,16
2,0.8571428571428571,0.75,0.8,8
macro_avg,0.8882783882783882,0.8333333333333334,0.8502532928064843,45
micro_avg,,,,90
