DSF,Status,Domain,Sub-Domain,Plan Work,Replan Work,Closed Work,Plan Start,Replan Start,Actual Start,Plan End,Replan End,Actual End,Plan Days,Replan Days,Plan Hr,Replan Hr,Logged Hr,Work Prog,Time Prog,Effort Prog,RAG,Reason
DSFFLOW-32,Closed,Network Management,Element Management & Reporting,57,31,31,08-Dec-24,08-Dec-24,09-Dec-24,17-Feb-25,18-Feb-25,17-Feb-25,71,72,910,459,457,100%,98%,100%,Green,[Closed] On/ahead of schedule; Within efforts budget; 
DSFFLOW-1383,Closed,Core Network,EPC,63,63,,31-Dec-24,31-Dec-24,01-Jan-25,30-Jun-25,30-Jun-25,27-May-25,181,181,952,952,952,0%,81%,100%,Red,[Closed] Incomplete work; Consumed all or more effort budget; 
DSFFLOW-1629,Closed,Core Network,"EPC,UDM,Signaling",175,175,105,01-Apr-25,01-Apr-25,03-Jun-25,29-Jun-25,29-Jun-25,07-Jul-25,89,89,2726,2726,2828.06,60%,108%,104%,Red,[Closed] Late start; Incomplete work; Consumed all or more effort budget; 
DSFFLOW-1200,Closed,Network Management,Element Management & Reporting,192,35,35,08-May-25,10-Feb-25,22-Apr-25,31-Aug-26,31-Oct-25,19-Jun-25,480,263,3156,986,605.5,100%,49%,62%,Amber,[Closed] Late start; Overtly buffered time plan; Inflated effort budget; 
DSFFLOW-1879,Closed,Network Management,Element Management & Reporting,25,17,17,26-May-25,26-May-25,26-May-25,30-Jun-25,30-Jun-25,30-Jun-25,35,35,305,272,268.5,100%,100%,99%,Green,[Closed] On/ahead of schedule; Within efforts budget; 
DSFFLOW-1135,Closed,BOS,D&A Mediation,34,34,34,19-May-25,19-May-25,19-May-25,20-Jun-25,20-Jun-25,20-Jun-25,32,32,570,570,548,100%,100%,97%,Green,[Closed] On/ahead of schedule; Within efforts budget; 
DSFFLOW-1026,Closed,Network Management,Resource Orchestration,20,18,18,20-Apr-25,20-Apr-25,13-Jun-25,29-Jun-25,29-Jun-25,09-Jul-25,70,70,278,261,260.77,100%,114%,101%,Amber,[Closed] Late start; Schedule slip > 5% tolerance; 
DSFFLOW-921,Closed,Core Network,UDM,23,23,23,09-May-25,09-May-25,14-May-25,31-Jul-25,31-Jul-25,04-Jul-25,83,83,240,240,232.1,100%,67%,97%,Amber,[Closed] Overtly buffered time plan; Within efforts budget; 
DSFFLOW-2560,Closed,Network Management,Resource Orchestration,24,18,18,06-Jun-25,06-Jun-25,27-Jun-25,31-Jan-26,31-Jan-26,07-Jul-25,239,239,222,222,222,100%,13%,100%,Amber,[Closed] Late start; Overtly buffered time plan; Within efforts budget; 
DSFFLOW-401,Closed,Core Network,EPC,152,152,62,10-Jul-24,10-Jul-24,30-Apr-25,12-Dec-25,12-Dec-25,23-Jun-25,520,520,2112,2112,1746.1,40%,66%,83%,Red,[Closed] Late start; Incomplete work; 
DSFFLOW-386,Closed,Core Network,EPC,30,30,30,10-Nov-24,10-Nov-24,01-Jan-25,26-Jan-25,26-Jan-25,30-Jun-25,77,77,2766,2766,994,100%,298%,36%,Amber,[Closed] Late start; Inflated effort budget; Schedule slip > 5% tolerance; 
DSFFLOW-1445,Closed,Core Network,IMS,78,59,59,27-May-25,27-May-25,28-May-25,18-Jul-25,04-Jul-25,04-Jul-25,52,38,801,640,600.27,100%,100%,94%,Green,[Closed] On/ahead of schedule; Within efforts budget; 
DSFFLOW-310,Closed,Core Network,UDM,19,19,19,20-Apr-25,20-Apr-25,05-Jun-25,31-May-25,31-May-25,05-Jun-25,41,41,267,267,315,100%,112%,118%,Red,[Closed] Late start; Schedule slip > 5% tolerance; Effort burn > 5% tolerance; 
DSFFLOW-49,Closed,Network Management,Element Management & Reporting,30,30,30,19-Feb-25,20-Feb-25,28-Feb-25,29-Aug-25,17-Apr-25,27-Mar-25,191,56,488,488,430,100%,63%,89%,Amber,[Closed] Late start; Overtly buffered time plan; Inflated effort budget; 
DSFFLOW-80,Closed,Core Network,"EPC,UDM,IMS",176,150,150,06-Feb-25,06-Feb-25,10-Mar-25,06-Jun-25,06-Jun-25,05-Jun-25,120,120,1786,1786,1758,100%,99%,99%,Green,[Closed] Late start; On/ahead of schedule; Within efforts budget; 
DSFFLOW-2123,In Progress,"Core Network,Network Management","Activation,EPC,UDM,Exposure,Core Network Automation",76,76,7,07-May-25,07-May-25,20-Jun-25,30-Oct-26,30-Oct-26,,541,541,5608,5608,1190,9%,12%,22%,Green,[In Prog] Late start; Progress variance within control limts; 
DSFFLOW-2107,In Progress,Core Network,"UDM,IMS",90,90,,29-May-25,29-May-25,30-Jun-25,27-Feb-26,27-Feb-26,,274,274,4426,4426,606.6,0%,16%,14%,Amber,[In Prog] Late start; Time ticking without any work progress; 
DSFFLOW-2078,In Progress,Core Network,"EPC,IMS",46,46,24,03-Apr-25,03-Apr-25,17-Jun-25,05-Dec-25,05-Dec-25,,246,246,2855,2855,2800,52%,41%,99%,Red,[In Prog] Late start; Efforts burnt outweigh work output; 
