iter	Passed	Remaining
583	1121	798
584	1122	796
585	1124	794
586	1126	792
587	1128	790
588	1129	788
589	1131	786
590	1133	784
591	1134	782
592	1136	780
593	1138	777
594	1139	775
595	1142	774
596	1143	772
597	1145	770
598	1147	768
599	1149	766
600	1150	764
601	1152	761
602	1154	759
603	1156	758
604	1158	756
605	1159	754
606	1161	752
607	1163	749
608	1164	747
609	1166	745
610	1167	743
611	1169	741
612	1171	739
613	1173	737
614	1174	735
615	1176	733
616	1178	731
617	1179	729
618	1181	727
619	1182	725
620	1184	723
621	1186	721
622	1188	719
623	1190	717
624	1191	714
625	1192	712
626	1194	710
627	1195	708
628	1197	706
629	1198	704
630	1200	702
631	1202	700
632	1204	698
633	1205	696
634	1207	694
635	1209	691
636	1210	689
637	1212	687
638	1213	685
639	1215	683
640	1217	681
641	1218	679
642	1220	677
643	1222	675
644	1223	673
645	1225	671
646	1226	669
647	1228	667
648	1229	665
649	1231	663
650	1232	660
651	1234	658
652	1236	656
653	1237	654
654	1239	652
655	1240	650
656	1242	648
657	1243	646
658	1245	644
659	1247	642
660	1248	640
661	1250	638
662	1252	636
663	1253	634
664	1255	632
665	1257	630
666	1258	628
667	1260	626
668	1262	624
669	1263	622
670	1265	620
671	1267	618
672	1268	616
673	1270	614
674	1272	612
675	1273	610
676	1275	608
677	1277	606
678	1278	604
679	1280	602
680	1282	600
681	1283	598
682	1285	596
683	1287	594
684	1288	592
685	1290	590
686	1292	588
687	1293	586
688	1295	584
689	1297	582
690	1298	580
691	1300	578
692	1302	576
693	1303	574
694	1305	572
695	1307	570
696	1308	569
697	1310	566
698	1311	564
699	1313	562
700	1314	560
701	1316	558
702	1318	556
703	1319	554
704	1321	552
705	1322	550
706	1324	548
707	1326	546
708	1327	545
709	1329	543
710	1331	541
711	1332	539
712	1334	536
713	1335	535
714	1337	533
715	1339	531
716	1341	529
717	1342	527
718	1344	525
719	1346	523
720	1347	521
721	1349	519
722	1350	517
723	1352	515
724	1353	513
725	1355	511
726	1357	509
727	1358	507
728	1360	505
729	1361	503
730	1363	501
731	1365	499
732	1367	498
733	1369	496
734	1371	494
735	1373	492
736	1374	490
737	1375	488
738	1376	486
739	1378	484
740	1379	482
741	1381	480
742	1382	478
743	1384	476
744	1386	474
745	1387	472
746	1389	470
747	1391	468
748	1392	466
749	1394	464
750	1396	462
751	1397	460
752	1399	459
753	1401	457
754	1403	455
755	1404	453
756	1406	451
757	1408	449
758	1410	447
759	1412	446
760	1414	444
761	1416	442
762	1418	440
763	1420	438
764	1422	437
765	1424	435
766	1425	433
767	1427	431
768	1429	429
769	1431	427
770	1433	425
771	1435	423
772	1436	421
773	1438	420
774	1440	418
775	1442	416
776	1444	414
777	1445	412
778	1447	410
779	1449	408
780	1451	406
781	1453	405
782	1455	403
783	1456	401
784	1458	399
785	1460	397
786	1461	395
787	1463	393
788	1465	391
789	1467	390
790	1468	388
791	1470	386
792	1472	384
793	1472	382
794	1474	380
795	1476	378
796	1479	376
797	1482	375
798	1485	373
799	1487	371
800	1489	369
801	1490	368
802	1492	366
803	1495	364
804	1497	362
805	1498	360
806	1500	358
807	1502	357
808	1504	355
809	1505	353
810	1507	351
811	1509	349
812	1511	347
813	1513	345
814	1515	343
815	1517	342
816	1518	340
817	1520	338
818	1522	336
819	1524	334
820	1526	332
821	1527	330
822	1529	328
823	1531	327
824	1533	325
825	1534	323
826	1536	321
827	1537	319
828	1539	317
829	1541	315
830	1543	313
831	1544	311
832	1546	310
833	1547	308
834	1549	306
835	1551	304
836	1552	302
837	1554	300
838	1556	298
839	1558	296
840	1559	294
841	1561	293
842	1563	291
843	1564	289
844	1566	287
845	1567	285
846	1570	283
847	1571	281
848	1573	279
849	1575	277
850	1576	276
851	1578	274
852	1580	272
853	1581	270
854	1583	268
855	1585	266
856	1586	264
857	1588	262
858	1590	261
859	1591	259
860	1593	257
861	1594	255
862	1596	253
863	1597	251
864	1599	249
865	1601	247
866	1602	245
867	1604	243
868	1606	242
869	1607	240
870	1609	238
871	1610	236
872	1612	234
873	1613	232
874	1615	230
875	1617	228
876	1618	227
877	1620	225
878	1621	223
879	1623	221
880	1624	219
881	1626	217
882	1627	215
883	1629	213
884	1631	211
885	1633	210
886	1634	208
887	1636	206
888	1637	204
889	1639	202
890	1641	200
891	1642	198
892	1644	196
893	1645	195
894	1647	193
895	1648	191
896	1650	189
897	1651	187
898	1653	185
899	1655	183
900	1656	182
901	1658	180
902	1659	178
903	1660	176
904	1662	174
905	1664	172
906	1665	170
907	1667	168
908	1669	167
909	1670	165
910	1672	163
911	1673	161
912	1675	159
913	1676	157
914	1678	155
915	1679	154
916	1681	152
917	1683	150
918	1684	148
919	1686	146
920	1687	144
921	1689	142
922	1690	141
923	1692	139
924	1694	137
925	1695	135
926	1697	133
927	1698	131
928	1700	129
929	1701	128
930	1703	126
931	1704	124
932	1706	122
933	1708	120
934	1709	118
935	1711	117
936	1713	115
937	1714	113
938	1716	111
939	1718	109
940	1719	107
941	1721	105
942	1722	104
943	1723	102
944	1725	100
945	1726	98
946	1727	96
947	1729	94
948	1731	93
949	1732	91
950	1734	89
951	1735	87
952	1737	85
953	1738	83
954	1740	82
955	1742	80
956	1743	78
957	1745	76
958	1746	74
959	1748	72
960	1750	71
961	1752	69
962	1754	67
963	1755	65
964	1757	63
965	1758	61
966	1760	60
967	1762	58
968	1763	56
969	1765	54
970	1767	52
971	1768	50
972	1770	49
973	1772	47
974	1774	45
975	1775	43
976	1777	41
977	1779	40
978	1780	38
979	1782	36
980	1783	34
981	1785	32
982	1787	30
983	1789	29
984	1790	27
985	1792	25
986	1794	23
987	1795	21
988	1797	19
989	1799	18
990	1800	16
991	1802	14
992	1804	12
993	1806	10
994	1807	9
995	1809	7
996	1810	5
997	1812	3
998	1813	1
999	1815	0
