iter	MultiClass
0	1.361574156
1	1.337311471
2	1.316893152
3	1.294158146
4	1.265425636
5	1.228575925
6	1.207788685
7	1.188951325
8	1.159213979
9	1.138580038
10	1.119356606
11	1.090968616
12	1.06943211
13	1.038110249
14	1.022593644
15	0.9961231918
16	0.981918558
17	0.964891169
18	0.9514350911
19	0.933078785
20	0.9210214652
21	0.9081318259
22	0.895518505
23	0.8847894771
24	0.8733296359
25	0.8585868197
26	0.842548068
27	0.8281840176
28	0.8157629916
29	0.8053313816
30	0.794988984
31	0.7846584634
32	0.773459228
33	0.7649382885
34	0.7570680352
35	0.7456870612
36	0.7364928679
37	0.7252543294
38	0.7152770517
39	0.7059952953
40	0.6908490835
41	0.6833172661
42	0.675710415
43	0.6676013446
44	0.6591644158
45	0.6500376669
46	0.6432134928
47	0.6369970493
48	0.6298848553
49	0.616964175
50	0.6121347911
51	0.6028669719
52	0.5974770725
53	0.5892673432
54	0.5798438452
55	0.5688416286
56	0.5586203272
57	0.5535144333
58	0.5480603182
59	0.5429566379
60	0.5350274795
61	0.5284756691
62	0.5240500273
63	0.5180399905
64	0.5113050389
65	0.5041367134
66	0.4981004937
67	0.4917005538
68	0.4866459608
69	0.4784299251
70	0.472913365
71	0.4700176845
72	0.4649269213
73	0.4605766448
74	0.4538745341
75	0.4492510594
76	0.4455572297
77	0.4398775814
78	0.4337313018
79	0.4292355142
80	0.4248476543
81	0.4204495672
82	0.4153390983
83	0.4108694734
84	0.4068337451
85	0.4016009648
86	0.3980001587
87	0.3942412089
88	0.3880196374
89	0.3838495524
90	0.3767436789
91	0.3729985986
92	0.3667343228
93	0.3639887364
94	0.3598479157
95	0.3558571131
96	0.3516917592
97	0.3484910544
98	0.343763755
99	0.3399585396
100	0.3352651484
101	0.3321589424
102	0.3279613929
103	0.323729923
104	0.3203917912
105	0.31736817
106	0.3135122947
107	0.3107002532
108	0.3078085583
109	0.3046915483
110	0.3021067536
111	0.2992680804
112	0.2963509929
113	0.2923113973
114	0.2899784643
115	0.2857663221
116	0.283147068
117	0.2807103168
118	0.2781649513
119	0.2751434981
120	0.2727359456
121	0.2703056561
122	0.2675955205
123	0.2655724004
124	0.2632578295
125	0.2606256476
126	0.2584355382
127	0.2565563029
128	0.2545527473
129	0.2518227551
130	0.2495861213
131	0.2469475791
132	0.2448072544
133	0.2429577174
134	0.2405399396
135	0.2383250209
136	0.2360480776
137	0.2343781628
138	0.2322457502
139	0.2304915679
140	0.2281937803
141	0.2265451848
142	0.2234745861
143	0.2210982202
144	0.2194183998
145	0.2173235379
146	0.2153146067
147	0.2132615999
148	0.2114084304
149	0.2092995661
150	0.207944652
151	0.2065092183
152	0.2048008049
153	0.203131118
154	0.2012997484
155	0.1999053348
156	0.19853455
157	0.1965202369
158	0.1950465998
159	0.1935038789
160	0.1923318458
161	0.1910872721
162	0.1896657593
163	0.1880939391
164	0.1867331165
165	0.1858470241
166	0.1846999316
167	0.1834114999
168	0.1822574703
169	0.1811975608
170	0.1800006233
171	0.1785794824
172	0.1773699406
173	0.1765158969
174	0.1754518278
175	0.1742711835
176	0.1732266877
177	0.1720377053
178	0.1705736098
179	0.1695668061
180	0.1677569128
181	0.1667878462
182	0.1660131066
183	0.1649571658
184	0.1638444113
185	0.1629472538
186	0.1621745723
187	0.1612114144
188	0.1601184157
189	0.1593525452
190	0.1583133799
191	0.1574451945
192	0.1565667028
193	0.1556937092
194	0.1546384509
195	0.1538214297
196	0.153247626
197	0.1523971878
198	0.1515687372
199	0.1506283801
200	0.1493342142
201	0.1484662381
202	0.1476560172
203	0.1468677706
204	0.146288175
205	0.1456538375
206	0.1448925635
207	0.1443255763
208	0.1432878713
209	0.1425297994
210	0.1416582902
211	0.1404605662
212	0.1396392661
213	0.1384301087
214	0.1380618403
215	0.1373070407
216	0.136346926
217	0.1354914606
218	0.1348778054
219	0.1342914142
220	0.1337061684
221	0.1330976904
222	0.1324986703
223	0.1318486204
224	0.1313438286
225	0.130244679
226	0.1296590311
227	0.1289259978
228	0.1282751807
229	0.1275362581
230	0.1269544215
231	0.1264976889
232	0.1255916369
233	0.1249105759
234	0.1244711588
235	0.1238748088
236	0.1231443057
237	0.1219968556
238	0.1215508337
239	0.1208568532
240	0.1202385752
241	0.1194204024
242	0.118819427
243	0.1181889859
244	0.1176036482
245	0.1169591479
246	0.1164283895
247	0.1159096259
248	0.1153733136
249	0.1147655857
250	0.1141289165
251	0.1136574114
252	0.1128514445
253	0.1124309826
254	0.1119907946
255	0.1114850101
256	0.1110878086
257	0.1107713607
258	0.1103153225
259	0.1096784808
260	0.1092148441
261	0.1087058776
262	0.1082330064
263	0.1077683363
264	0.1073365794
265	0.1069381227
266	0.1067671441
267	0.1062832283
268	0.1058279903
269	0.1055015945
270	0.1050297496
271	0.1045626729
272	0.1040373729
273	0.1038107198
274	0.1033222847
275	0.1027260895
276	0.1023405695
277	0.1018675418
278	0.101272367
279	0.1005942432
280	0.1003463298
281	0.0999431133
282	0.09949581752
283	0.0989081783
284	0.09863674456
285	0.09830550784
286	0.09780215576
287	0.09747511569
288	0.0970857911
289	0.09659918866
290	0.09587042559
291	0.09539507256
292	0.09493770831
293	0.09451726084
294	0.09415006666
295	0.09379610587
296	0.09328461309
297	0.09289522636
298	0.0924851273
299	0.09169662561
300	0.09135289461
301	0.09105771734
302	0.09046828043
303	0.08992470424
304	0.0893915554
305	0.08909916005
306	0.08875156109
307	0.08849404033
308	0.08817084736
309	0.08786966824
310	0.08750729699
311	0.0871542666
312	0.08679086496
313	0.08647820325
314	0.08607394071
315	0.0856968072
316	0.0854311508
317	0.08508829456
318	0.08472937355
319	0.08445794721
320	0.08412770141
321	0.0838425629
322	0.08361668512
323	0.08315021534
324	0.0829096165
325	0.08251864375
326	0.08215454435
327	0.08187765772
328	0.08161895339
329	0.08130649543
330	0.08102895178
331	0.08071610997
332	0.08041726222
333	0.08028225244
334	0.08009480826
335	0.07993758486
336	0.07964242752
337	0.07938546148
338	0.07911843517
339	0.07888513341
340	0.07867803553
341	0.07837052408
342	0.07815845026
343	0.07765405886
344	0.07736748051
345	0.07710180492
346	0.07682195797
347	0.07656812619
348	0.07629674909
349	0.0759830087
350	0.07578005035
351	0.07545548925
352	0.07524186131
353	0.0749452527
354	0.07474965811
355	0.07444686476
356	0.07401565032
357	0.07378854484
358	0.07355029135
359	0.07325503875
360	0.07302270012
361	0.07281025504
362	0.07257936066
363	0.07234509601
364	0.07213871886
365	0.0719317245
366	0.07168020097
367	0.07143824049
368	0.07118884435
369	0.07083121989
370	0.07060145431
371	0.07044648246
372	0.0701355361
373	0.06979431925
374	0.06955310974
375	0.06929796677
376	0.06911593394
377	0.06886601548
378	0.06860972445
379	0.06836351407
380	0.06812063082
381	0.06793721999
382	0.06770140704
383	0.06753795852
384	0.06734933177
385	0.06718935916
386	0.06696438243
387	0.06677398902
388	0.06642795498
389	0.06613509667
390	0.06592984351
391	0.06575457562
392	0.06558390046
393	0.06542968015
394	0.06524469765
395	0.06497509796
396	0.06476883333
397	0.06451055635
398	0.06437017162
399	0.06414890966
400	0.06404494716
401	0.06383759535
402	0.06355893649
403	0.06337094845
404	0.06320410754
405	0.06295556467
406	0.06262909902
407	0.06244148993
408	0.06219261014
409	0.06195689685
410	0.0617401516
411	0.06139120589
412	0.06119456675
413	0.06091347089
414	0.06065137309
415	0.0601695051
416	0.05976098988
417	0.05962529611
418	0.05945066788
419	0.05913394723
420	0.05886769812
421	0.05870468173
422	0.05856527256
423	0.05839412398
424	0.05823666891
425	0.05806826776
426	0.05792162637
427	0.05771183665
428	0.05748963691
429	0.05741192609
430	0.05729584178
431	0.05710835186
432	0.05690602947
433	0.05678236685
434	0.05664289139
435	0.05657824645
436	0.05642474754
437	0.05630918944
438	0.05617958665
439	0.05605026554
440	0.05583233374
441	0.05566805006
442	0.0555260485
443	0.05537899029
444	0.05522175702
445	0.05505567815
446	0.0548917505
447	0.05477008662
448	0.05465130251
449	0.05450500489
450	0.0543885696
451	0.05421957303
452	0.05411797761
453	0.05397392314
454	0.0538202343
455	0.0537100167
456	0.05350272296
457	0.05331833304
458	0.053095457
459	0.05297119687
460	0.0528166019
461	0.05270731496
462	0.05262530361
463	0.05241580716
464	0.05224634009
465	0.05211079171
466	0.05200638312
467	0.05190635147
468	0.05178206044
469	0.05164703706
470	0.0514728902
471	0.0513513248
472	0.05117202008
473	0.05104445708
474	0.05093971124
475	0.0507915432
476	0.05066277579
477	0.05055623694
478	0.05041973173
479	0.05031298241
480	0.05019407553
481	0.05005684762
482	0.04993920301
483	0.04988713794
484	0.04959020484
485	0.04948855313
486	0.04940324266
487	0.04932692163
488	0.04920027925
489	0.04902153355
490	0.04896623866
491	0.0488318957
492	0.04872494155
493	0.04856960887
494	0.04838717681
495	0.04831935666
496	0.0482739654
497	0.04815277667
498	0.04802821571
499	0.04789066849
500	0.04772262519
501	0.04759998363
502	0.04743336563
503	0.04735028385
504	0.04725081173
505	0.04713690023
506	0.04699092532
507	0.04688812352
508	0.04673108676
509	0.04663933292
510	0.04647465652
511	0.04640775676
512	0.04629096013
513	0.04616415475
514	0.04596536159
515	0.04587236821
516	0.04570328897
517	0.04549135575
518	0.04531812988
519	0.04521776272
520	0.04512765781
521	0.04500474267
522	0.04494475622
523	0.04485818771
524	0.04476180206
525	0.04467374327
526	0.04458501527
527	0.04446422788
528	0.04440061653
529	0.04427646196
530	0.04423645638
531	0.04409604587
532	0.0439828241
533	0.04388997384
534	0.0437595362
535	0.04368308414
536	0.04359610276
537	0.04353712707
538	0.04343834134
539	0.04336271486
540	0.04326734296
541	0.04310215513
542	0.04300679185
543	0.04293216156
544	0.04284721967
545	0.04275427637
546	0.04263501151
547	0.04251955073
548	0.04240602706
549	0.0423310629
550	0.04223982043
551	0.042143251
552	0.04207237484
553	0.0419733964
554	0.04183701651
555	0.04172582485
556	0.04162950195
557	0.04151601475
558	0.04138993717
559	0.041261758
560	0.04120417862
561	0.04113089079
562	0.04107168952
563	0.04099611293
564	0.04088535085
565	0.0407896327
566	0.04070733109
567	0.04062802359
568	0.0405291997
569	0.0404314617
570	0.04037424523
571	0.04031906667
572	0.04022437019
573	0.04016732334
574	0.04008423762
575	0.04001017893
576	0.03994109354
577	0.03986215271
578	0.03978228585
579	0.03969246786
580	0.03962413266
581	0.03954006492
582	0.03945510057
583	0.0393725029
584	0.03930277439
585	0.03919079446
586	0.03910448308
587	0.03899759953
588	0.03894330893
589	0.03882211394
590	0.03874067045
591	0.03865742969
592	0.03857894804
593	0.03849661888
594	0.0384439801
595	0.03837499491
596	0.03819936113
597	0.0381082204
598	0.03800082048
599	0.03798378536
600	0.03793121422
601	0.03786606079
602	0.03779054026
603	0.03772609822
604	0.03766727098
605	0.03759082539
606	0.03750123518
607	0.03743366102
608	0.03734869749
609	0.03726945018
610	0.03720003457
611	0.03710464342
612	0.03703866959
613	0.03698140034
614	0.03688374954
615	0.03679001797
616	0.0367187705
617	0.03658237411
618	0.03649380676
619	0.03633435408
620	0.03626228479
621	0.03620610172
622	0.03606935224
623	0.03600241431
624	0.03594272171
625	0.03584369671
626	0.0357809712
627	0.03570878708
628	0.03564545739
629	0.03550349993
630	0.03544641156
631	0.03532025311
632	0.03527578074
633	0.03520368494
634	0.03512826989
635	0.0350548356
636	0.03499757739
637	0.03493248399
638	0.03486247213
639	0.03474243867
640	0.03467168979
641	0.03459144056
642	0.03452888307
643	0.03446144255
644	0.03442303345
645	0.03434116659
646	0.0342711631
647	0.0341930967
648	0.03414389759
649	0.03407471243
650	0.03401904812
651	0.03394243878
652	0.03388565844
653	0.03383261151
654	0.03377709463
655	0.03369346117
656	0.033632573
657	0.03357102446
658	0.03353358198
659	0.03345414214
660	0.03339941947
661	0.03332632928
662	0.0332821839
663	0.03322924949
664	0.03314927303
665	0.0330788002
666	0.03304189393
667	0.03297612856
668	0.03292498865
669	0.03286278969
670	0.03279998221
671	0.0327595639
672	0.03271216768
673	0.03265465428
674	0.03258522613
675	0.03252531125
676	0.03245829956
677	0.03239848909
678	0.03235065094
679	0.03229463623
680	0.03221910627
681	0.0321433018
682	0.03205751593
683	0.03202008838
684	0.03196311223
685	0.03187929428
686	0.03179570806
687	0.03175380257
688	0.03170505807
689	0.03165858858
690	0.03163808714
691	0.03158630028
692	0.03154892354
693	0.03147277989
694	0.03141617145
695	0.03136230851
696	0.03131755677
697	0.03126337494
698	0.03121205944
699	0.031168104
700	0.0311167358
701	0.03104377629
702	0.03099586014
703	0.0309301651
704	0.03089339254
705	0.03085148332
706	0.03079747765
707	0.03076106609
708	0.03068499676
709	0.03065774837
710	0.03061257756
711	0.03056567427
712	0.03052456992
713	0.03047263674
714	0.03042502796
715	0.03038060514
716	0.0302873853
717	0.03023675392
718	0.03020290949
719	0.03014343562
720	0.03011651776
721	0.03007017293
722	0.03000929939
723	0.02995696993
724	0.02991566292
725	0.02986260012
726	0.02980607058
727	0.02975910639
728	0.02972861234
729	0.02968840799
730	0.02964681319
731	0.02958766669
732	0.0295380077
733	0.02950242031
734	0.02946579268
735	0.02942569802
736	0.02936413
737	0.0293054855
738	0.02926706161
739	0.02920016038
740	0.02910255716
741	0.02904886646
742	0.02897887819
743	0.02891926363
744	0.02888016104
745	0.02880580067
746	0.02876725748
747	0.02875270631
748	0.02869486356
749	0.02862908499
750	0.02859331138
751	0.02853842248
752	0.02849379438
753	0.02845413068
754	0.02841063453
755	0.02835117622
756	0.02831988308
757	0.02827287109
758	0.02823345764
759	0.02818609422
760	0.02815435583
761	0.02810083318
762	0.02801702101
763	0.02797359568
764	0.02791858263
765	0.02788631024
766	0.02784477417
767	0.02776786701
768	0.02772290247
769	0.02769092389
770	0.02765851766
771	0.02762339942
772	0.02759192609
773	0.02756708121
774	0.02751547983
775	0.02747138992
776	0.02741711725
777	0.02734663958
778	0.02730078828
779	0.02723151287
780	0.02720931387
781	0.02718328527
782	0.02714932415
783	0.02712378449
784	0.02707084879
785	0.02702854524
786	0.0269707777
787	0.02691165101
788	0.02686485217
789	0.02682942817
790	0.02678584365
791	0.02674820489
792	0.02671701583
793	0.02669530441
794	0.02666103488
795	0.02663043584
796	0.02659882359
797	0.02656635462
798	0.0265335957
799	0.02648972971
800	0.02642073958
801	0.02638342781
802	0.0263515725
803	0.02631954992
804	0.02629330025
805	0.02625113819
806	0.02620731208
807	0.02616532978
808	0.02613647246
809	0.02610668766
810	0.0260694369
811	0.02602813865
812	0.02600016265
813	0.02593817417
814	0.02588418397
815	0.02585348207
816	0.0258260214
817	0.02579235396
818	0.02575674886
819	0.02572461458
820	0.02567506126
821	0.02562242696
822	0.02558305593
823	0.02552718928
824	0.02549653814
825	0.02546163707
826	0.02543144912
827	0.02536340602
828	0.02534125513
829	0.02531673989
830	0.02528904975
831	0.02523210053
832	0.02520671969
833	0.02516484799
834	0.02513577144
835	0.0251019591
836	0.02507021422
837	0.02502619596
838	0.02499332355
839	0.0249525535
840	0.0249166035
841	0.02488817869
842	0.02485410276
